"transcript_id","cell_id","overlaps_nucleus","feature_name","x_location","y_location","z_location","qv"
281474976710664,67490,1,"Bhlhe40",4843.046,6427.73,19.068869,40.0
281474976710665,67957,0,"Parm1",4844.633,6223.1826,18.52016,40.0
281474976710667,67539,1,"Bhlhe40",4842.9434,6478.3105,18.500109,13.813585
281474976710669,68003,0,"Lyz2",4843.9414,6344.5503,15.016154,19.471884
281474976710670,67344,0,"Dkk3",4843.1626,6632.112,15.39468,40.0
281474976710672,67957,0,"Parm1",4845.2583,6227.622,16.956146,40.0
281474976710674,67348,1,"Car4",4843.598,6513.5054,17.470188,40.0
281474976710675,67539,0,"Dkk3",4843.799,6469.7227,16.010612,23.806166
281474976710676,67350,1,"Car4",4843.708,6530.5864,14.260693,40.0
281474976710678,67350,0,"Bhlhe40",4844.044,6525.038,17.386564,40.0
281474976710680,68000,0,"Lyz2",4845.2803,6319.5845,16.717548,40.0
281474976710683,67954,0,"Parm1",4846.6445,6203.232,20.144339,9.5174885
281474976710685,67506,0,"Neurod6",4844.996,6443.182,15.078952,17.235071
281474976710689,67507,0,"Bhlhe40",4845.404,6459.547,15.613944,40.0
281474976710694,67350,1,"Car4",4845.3926,6527.897,15.457128,40.0
281474976710696,67348,1,"Neurod6",4845.8403,6520.0063,19.00109,14.839541
281474976710697,67352,0,"Wfs1",4846.1445,6508.871,15.01664,17.189754
281474976710698,67490,1,"Dkk3",4846.4883,6423.6016,16.6373,23.230942
281474976710699,68003,1,"Dkk3",4847.0996,6334.1426,17.079422,40.0
281474976710702,67954,1,"Sox10",4848.224,6207.9194,16.307468,20.396578
281474976710703,67490,0,"Neurod6",4846.455,6435.9834,16.99702,40.0
281474976710704,67539,0,"Neurod6",4846.4995,6473.1504,17.386072,20.1952
281474976710707,68002,0,"Bhlhe40",4847.6973,6330.9766,18.070301,40.0
281474976710708,67539,1,"Bhlhe40",4846.976,6477.5757,16.952034,23.968115
281474976710711,67539,0,"Neurod6",4847.588,6473.449,17.748213,30.62372
281474976710714,67539,1,"Neurod6",4847.709,6480.41,19.352423,22.761948
281474976710715,67490,0,"Dkk3",4848.1035,6418.1797,14.9980545,13.173506
281474976710716,68002,1,"Car4",4848.656,6332.6294,18.495749,23.670795
281474976710719,67980,1,"Dkk3",4849.2563,6271.012,18.203766,19.580118
281474976710720,67348,0,"Bhlhe40",4847.8496,6519.617,15.131025,25.08554
281474976710721,67507,0,"Neurod6",4848.076,6453.521,17.350245,17.031662
281474976710722,67980,1,"Cpne8",4849.3965,6264.9995,16.917913,22.422646
281474976710723,67980,0,"Bhlhe40",4849.429,6261.7935,14.327851,13.343635
281474976710724,67539,1,"Bhlhe40",4848.039,6475.955,18.704868,30.748438
281474976710726,67954,1,"Car4",4849.9346,6206.5586,21.46146,40.0
281474976710727,67539,0,"Dkk3",4848.214,6474.1465,16.484575,40.0
281474976710728,67507,0,"Dkk3",4848.288,6455.1484,17.005623,40.0
281474976710731,67991,0,"Bhlhe40",4849.686,6290.0684,16.403008,40.0
281474976710733,67490,1,"Dkk3",4849.0537,6423.7437,20.350075,40.0
281474976710734,67348,0,"Car4",4848.767,6520.6055,14.862458,15.4363575
281474976710735,67509,0,"Dkk3",4849.591,6365.296,16.153559,40.0
281474976710736,67490,0,"Parm1",4849.275,6432.5347,17.636347,40.0
281474976710739,67352,0,"Neurod6",4849.5713,6493.0303,17.684841,40.0
281474976710740,67490,1,"Dkk3",4849.916,6426.9873,17.805618,40.0
281474976710743,67507,1,"Neurod6",4849.8306,6454.896,15.437309,40.0
281474976710744,67352,1,"NegControlCodeword_0505",4849.851,6498.6265,20.843742,19.045061
281474976710745,67980,1,"Parm1",4851.2305,6271.3237,17.214933,18.109873
281474976710746,67507,1,"Neurod6",4850.167,6451.174,16.145805,40.0
