"transcript_id","cell_id","overlaps_nucleus","feature_name","x_location","y_location","z_location","qv"
281474976710657,120742,1,"Dkk3",4817.2964,825.7026,18.20648,20.148668
281474976710659,120712,1,"Parm1",4817.773,778.4266,21.68274,27.314562
281474976710662,120718,1,"Bhlhe40",4818.1357,782.13544,19.565393,9.123266
281474976710663,120849,0,"Gjb2",4817.9727,750.0854,17.492184,40.0
281474976710665,120816,1,"Sema5b",4818.6753,734.5076,13.964334,20.835802
281474976710670,120862,0,"Dkk3",4822.573,756.0345,12.260905,40.0
281474976710674,120816,1,"Sema5b",4823.732,734.5623,18.30422,20.711071
281474976710681,10996,0,"Parm1",4826.625,844.3379,19.344599,20.264034
281474976710693,120726,0,"Wfs1",4835.662,811.127,12.772746,27.612015
281474976710694,10997,1,"Dkk3",4836.1333,855.70197,17.99565,19.805197
281474976710695,11002,1,"Bhlhe40",4837.4087,869.2606,15.891785,40.0
281474976710696,133161,0,"Wfs1",4839.3267,907.2882,12.826843,40.0
281474976710697,11002,1,"Dkk3",4839.093,865.9357,18.200228,19.805197
281474976710698,120726,0,"Bhlhe40",4838.841,824.53613,16.453865,21.72239
281474976710699,120726,1,"Bhlhe40",4838.9478,818.0606,14.4678955,22.371325
281474976710700,120852,1,"Bhlhe40",4838.686,753.1632,14.952268,40.0
281474976710701,11002,0,"Lyz2",4840.148,877.8728,18.361748,13.584522
281474976710702,11002,1,"Dkk3",4840.2983,870.3445,14.3345175,20.148668
281474976710703,11002,1,"Lyz2",4841.1743,864.0866,13.16237,19.584799
281474976710704,120731,0,"Bhlhe40",4840.75,770.3567,15.444153,40.0
281474976710705,11002,1,"Wfs1",4841.6343,869.2114,17.354765,20.289473
281474976710706,120807,1,"Gjb2",4841.1787,730.4043,13.967867,32.87809
281474976710707,133169,1,"Bhlhe40",4843.1387,875.83966,19.632864,9.19861
281474976710708,-1,0,"Lyz2",4842.4844,507.48874,12.315445,9.0194235
281474976710709,-1,0,"Gjb2",4842.957,692.8153,12.376379,40.0
281474976710710,120729,0,"Dkk3",4843.512,785.01953,12.569601,40.0
281474976710711,120797,0,"Gjb2",4843.264,726.55774,12.590012,32.87809
281474976710712,11004,1,"Lyz2",4844.201,840.53955,12.533816,40.0
281474976710713,120732,0,"Cpne8",4844.328,811.8397,17.054798,40.0
281474976710714,11005,1,"Bhlhe40",4844.9224,855.0402,16.38504,40.0
281474976710715,11004,1,"Dkk3",4844.958,841.374,14.995712,40.0
281474976710716,120729,0,"Dkk3",4844.5703,786.802,17.74049,40.0
281474976710717,133165,1,"Gjb2",4845.7646,884.8823,14.0933695,9.673341
281474976710718,120732,0,"Bhlhe40",4845.3984,809.23016,17.365042,13.175404
281474976710719,120732,0,"Wfs1",4846.1333,809.0211,18.846714,21.174385
281474976710720,120761,1,"Dkk3",4846.49,756.8484,16.047558,19.582777
281474976710721,133175,1,"Dkk3",4848.024,892.4907,16.273,7.997607
281474976710722,120733,0,"Dkk3",4847.4375,762.94666,14.737755,40.0
281474976710723,120761,0,"Gjb2",4847.455,750.98944,15.21048,30.33432
281474976710724,120846,0,"Wfs1",4847.5596,748.97974,13.30575,40.0
281474976710725,120734,1,"Bhlhe40",4848.466,777.5274,13.377106,40.0
281474976710726,-1,0,"Nxph3",4848.2715,693.68494,12.328746,40.0
281474976710727,120761,1,"Lyz2",4849.663,757.46454,17.919024,15.356478
281474976710728,120846,1,"Gjb2",4849.556,746.38,13.148243,40.0
281474976710729,120732,1,"Parm1",4851.0557,808.2556,15.39901,40.0
281474976710730,11008,0,"Sema5b",4852.3315,861.3857,14.798968,19.702122
281474976710731,120734,1,"Dkk3",4853.1455,779.1123,14.653371,40.0
281474976710732,120739,0,"Bhlhe40",4853.8066,797.50543,15.2501955,40.0
281474976710733,120733,1,"Bhlhe40",4853.5723,766.3164,15.957061,14.124343
281474976710734,11011,1,"Bhlhe40",4854.2217,845.7217,15.223625,40.0
281474976710735,120846,0,"Lyz2",4854.0874,753.9175,16.05672,28.367022
281474976710736,11011,1,"Dkk3",4854.876,847.51447,21.156326,21.071024
281474976710737,120810,1,"Gjb2",4855.3125,729.9367,14.849294,14.759998
281474976710738,120733,0,"Sema5b",4855.8257,768.6744,13.46375,19.702122
281474976710739,120803,1,"Gjb2",4855.8394,727.3283,13.536929,13.690397
281474976710740,133185,1,"Lyz2",4857.4854,871.35645,15.962316,40.0
281474976710741,120836,1,"Fign",4856.5913,741.9394,13.975937,14.281293
281474976710742,120737,0,"Bhlhe40",4856.7627,761.66364,14.451764,40.0
281474976710743,120735,1,"Bhlhe40",4857.932,823.9508,20.574911,21.72239
281474976710744,120756,1,"Parm1",4858.223,797.424,14.688834,14.764366
281474976710745,11008,1,"NegControlCodeword_0529",4858.664,856.7364,15.153152,13.982511
281474976710746,120757,1,"Bhlhe40",4858.555,802.722,15.376126,40.0
281474976710747,120756,1,"Bhlhe40",4858.6177,800.4593,18.56407,14.071331
