"fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
9,0,5613.13313333333,146528.280555556,3879.7998,2472.725,8,"NR1H2","0"
9,0,5363.84993333333,146601.055555556,3630.5166,2545.5,8,"SUCNR1","Membrane"
9,0,5445.66173333333,146376.555555556,3712.3284,2321,8,"OLFM4","0"
9,0,5615.63333333333,146548.355455556,3882.3,2492.7999,8,"COL15A1","Nuclear"
9,0,5415.08333333333,146404.630555556,3681.75,2349.075,8,"COL21A1","0"
9,0,5553.51353333333,146584.595555556,3820.1802,2529.04,8,"MALAT1","Nuclear"
9,0,5653.31303333333,146555.115455556,3919.9797,2499.5599,8,"CCL2","Membrane"
9,0,5462.65363333333,146551.975455556,3729.3203,2496.4199,8,"EZR","0"
9,0,5663.59313333333,146592.955555556,3930.2598,2537.4,8,"ITGB1","Nuclear"
9,0,5374.43333333333,146295.130555556,3641.1,2239.575,8,"GPNMB","0"
9,0,5361.35833333333,146185.630655556,3628.025,2130.0751,8,"COTL1","0"
9,0,5447.18333333333,146489.505555556,3713.85,2433.95,8,"PSAP","0"
9,0,5392.88333333333,146295.105555556,3659.55,2239.55,8,"CCL20","0"
9,0,5533.73333333333,146587.755555556,3800.4,2532.2,8,"FABP5","Nuclear"
9,0,5497.30823333333,146466.805555556,3763.9749,2411.25,8,"IL15RA","Membrane"
9,0,5492.78353333333,146306.755355556,3759.4502,2251.1998,8,"HDAC4","0"
9,0,5452.18333333333,146367.555555556,3718.85,2312,8,"KRT19","0"
9,0,5199.87313333333,146430.535555556,3466.5398,2374.98,8,"TNFRSF12A","0"
9,0,5626.37313333333,146563.435655556,3893.0398,2507.8801,8,"JUNB","0"
9,0,5437.21343333333,146507.295555556,3703.8801,2451.74,8,"MALAT1","0"
9,0,5443.55013333333,146454.255655556,3710.2168,2398.7001,8,"KRT17","0"
9,0,5314.43333333333,146075.815555556,3581.1,2020.26,8,"LEP","0"
9,0,5478.40853333333,146412.580455556,3745.0752,2357.0249,8,"PDGFA","0"
9,0,5436.25333333333,146421.495555556,3702.92,2365.94,8,"S100A6","0"
9,0,5384.25813333333,146081.155555556,3650.9248,2025.6,8,"WNT3","0"
