"","fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
"1",2,0,10066.3558555556,140003.730555556,2860.8003,3248.175,1,"GLUL","Nuclear"
"2",2,0,10096.4430555556,140011.093035556,2890.8875,3255.53748,1,"RXRB","0"
"3",2,0,10093.4410555556,140002.212725556,2887.8855,3246.65717,1,"CLOCK","0"
"4",2,0,10095.5267555556,140002.726955556,2889.9712,3247.1714,1,"MALAT1","0"
"5",2,0,10084.9666555556,140007.633315556,2879.4111,3252.07776,1,"FASN","0"
"6",2,0,10096.6890555556,140004.633315556,2891.1335,3249.07776,1,"EZH2","0"
"7",2,0,10077.7056555556,140009.788855556,2872.1501,3254.2333,1,"FGF18","0"
"8",2,0,10090.6388555556,140015.147195556,2885.0833,3259.59164,1,"EZH2","0"
"9",2,0,10079.8553555556,140006.238905556,2874.2998,3250.68335,1,"CTNNB1","0"
"10",2,0,10099.0269555556,140003.398415556,2893.4714,3247.84286,1,"EPOR","0"
"11",2,0,10077.0055555556,140000.130535556,2871.45,3244.57498,1,"FGF1","Nuclear"
"12",2,0,10090.6554555556,140008.026995556,2885.0999,3252.47144,1,"RAC1","0"
"13",2,0,10089.4154555556,140011.375555556,2883.8599,3255.82,1,"MZT2A","0"
"14",2,0,10076.3153555556,140008.675515556,2870.7598,3253.11996,1,"C1QA","0"
"15",2,0,10090.6155555556,140011.915575556,2885.06,3256.36002,1,"MZT2A","0"
"16",2,0,10081.7557555556,140008.630555556,2876.2002,3253.075,1,"HSP90AA1","0"
"17",2,0,10091.7157118056,140014.635572645,2886.16015625,3259.08001708984,0,"RPL22","0"
"18",2,0,10084.9911024306,140008.191267225,2879.435546875,3252.63571166992,0,"HBA1","0"
"19",2,0,10092.2928602431,140000.930586073,2886.7373046875,3245.37503051758,0,"ITGAX","0"
"20",2,0,10088.0955946181,140006.635572645,2882.5400390625,3251.08001708984,0,"FZD6","0"
"21",2,0,10086.6388075087,140007.72221205,2881.08325195312,3252.16665649414,0,"CLDN4","0"
"22",2,0,10096.8055555556,140002.888929579,2891.25,3247.33337402344,0,"NOTCH3","0"
"23",2,0,10081.3756239149,140018.435560438,2875.82006835938,3262.88000488281,0,"LY6D","Membrane"
"24",2,0,10087.0330946181,140013.02223036,2881.4775390625,3257.46667480469,0,"EFNB2","0"
"25",2,0,10078.1805555556,140009.030561659,2872.625,3253.47500610352,0,"MS4A1","0"
