index,shape-type,vertex-index,axis-0,axis-1
0,path,0,13039.528278512013,16670.39619937689
0,path,1,12807.14659216792,17815.70593921563
0,path,2,12873.541359694804,18927.81829529093
0,path,3,13105.923046038895,19425.779051742556
0,path,4,13222.113889210941,19973.535883839344
0,path,5,13222.113889210941,20471.49664029097
0,path,6,13022.929586630291,21201.83908308669
0,path,7,13022.929586630291,21450.8194613125
0,path,8,13321.706040501267,21450.8194613125
0,path,9,13637.081186253963,21168.64169932325
0,path,10,13902.660256361498,20587.687483463018
0,path,11,14151.640634587311,19956.937191957622
0,path,12,14151.640634587311,19608.364662441483
0,path,13,14002.252407651822,19044.009138462974
0,path,14,13935.85764012494,18313.666695667256
0,path,15,13952.45633200666,17799.107247333908
0,path,16,14184.838018350752,17218.153031473677
0,path,17,14284.430169641078,17118.56088018335
0,path,18,14367.423629049683,16952.573961366143
0,path,19,14135.04194270559,17018.96872889303
0,path,20,13902.660256361498,17433.93602593605
0,path,21,13786.469413189452,17782.508555452187
0,path,22,13670.278570017404,18313.666695667256
0,path,23,13736.67333754429,18828.226144000604
0,path,24,13786.469413189452,19209.996057280183
0,path,25,13819.666796952893,19641.562046204926
0,path,26,13720.074645662567,20139.522802656553
0,path,27,13554.087726845359,20537.891407817853
0,path,28,13404.699499909872,20720.477018516784
0,path,29,13504.291651200196,20222.516262065157
0,path,30,13471.094267436754,19807.548965022135
0,path,31,13421.298191791591,19458.976435505996
0,path,32,13338.304732382987,19226.594749161904
0,path,33,13255.311272974383,18878.022219645765
0,path,34,13172.317813565778,18446.45623072102
0,path,35,13155.719121684058,17981.69285803284
0,path,36,13155.719121684058,17367.541258409165
0,path,37,13139.120429802337,16919.376577602703
0,path,38,13056.126970393732,16686.99489125861
0,path,39,13056.126970393732,16686.99489125861
1,path,0,14371.257137577493,17205.848140043287
1,path,1,14397.954443345687,17252.568425137622
1,path,2,14431.326075555928,17332.660342442206
1,path,3,14444.674728440026,17439.44956551498
1,path,4,14478.046360650267,17599.63340012414
1,path,5,14498.069339976413,17739.794255407156
1,path,6,14518.092319302557,17926.675395784514
1,path,7,14538.115298628702,18233.694412118737
1,path,8,14544.78962507075,18233.694412118737
1,path,9,14551.4639515128,18240.368738560785
1,path,10,14578.161257280994,18660.851304409836
1,path,11,14658.253174585574,19001.241952954304
1,path,12,14711.647786121961,19361.655580824918
1,path,13,14798.414029868589,19735.417861579626
1,path,14,14791.739703426541,20215.96936540711
1,path,15,14631.55586881738,20609.754625487963
1,path,16,14397.954443345687,21016.888538452917
1,path,17,14197.724650084234,21230.466984598468
1,path,18,13930.751592402301,21584.20628602703
