"","V1","barcode_id","global_x","global_y","global_z","x","y","fov","gene","transcript_id"
"1",56483,12,8078.8354,8003.4326,3,1173.2799,1766.1777,1687,"TGFBR3","ENST00000212355"
"2",64074,14,8075.4053,8002.1167,3,1141.5186,1753.9943,1687,"XBP1","ENST00000216037"
"3",64874,14,8078.885,8011.8174,4,1173.7372,1843.8115,1687,"XBP1","ENST00000216037"
"4",80037,19,8078.6475,8000.5854,1,1171.5399,1739.8123,1687,"NFKBIA","ENST00000216797"
"5",80472,19,8078.481,8003.9272,2,1170,1770.7548,1687,"NFKBIA","ENST00000216797"
"6",80875,19,8079.174,8000.9297,3,1176.4138,1743,1687,"NFKBIA","ENST00000216797"
"7",80880,19,8079.0605,8001.8545,3,1175.367,1751.5658,1687,"NFKBIA","ENST00000216797"
"8",81326,19,8075.32,8003.485,4,1140.7277,1766.6598,1687,"NFKBIA","ENST00000216797"
"9",93698,23,8075.308,8003.2153,2,1140.6188,1764.1624,1687,"TGFB1","ENST00000221930"
"10",94555,23,8074.1943,8002.1577,4,1130.3092,1754.371,1687,"TGFB1","ENST00000221930"
"11",109952,28,8077.9897,8000.3184,2,1165.4486,1737.3407,1687,"ACTA2","ENST00000224784"
"12",109963,28,8075.712,8005.168,2,1144.3595,1782.2454,1687,"ACTA2","ENST00000224784"
"13",111194,28,8078.897,8005.727,4,1173.8525,1787.4198,1687,"ACTA2","ENST00000224784"
"14",123484,31,8079.8853,8006.1113,2,1183,1790.9773,1687,"WNT3","ENST00000225512"
"15",125686,32,8048.596,8000.4194,0,893.28595,1738.2787,1687,"CCL2","ENST00000225831"
"16",140275,36,8077.8794,8003.0557,2,1164.4286,1762.6844,1687,"NFKB1","ENST00000226574"
"17",140852,36,8073.1465,8002.01,3,1120.6073,1753.0013,1687,"NFKB1","ENST00000226574"
"18",145340,37,8078.7114,8003.532,2,1172.1332,1767.0968,1687,"CCND1","ENST00000227507"
"19",145350,37,8079.407,8005.8975,2,1178.5774,1789,1687,"CCND1","ENST00000227507"
"20",155668,39,8078.5176,8000.256,2,1170.3368,1736.7631,1687,"CDKN1B","ENST00000228872"
"21",177248,44,8075.7163,8003.927,2,1144.4,1770.75,1687,"IL12B","ENST00000231228"
"22",190181,47,8079.728,8010.594,1,1181.5447,1832.4894,1687,"DUSP1","ENST00000239223"
"23",191959,47,8078.555,8016.566,3,1170.6876,1887.7805,1687,"DUSP1","ENST00000239223"
"24",192764,47,8079.0117,8007.9824,4,1174.9152,1808.3064,1687,"DUSP1","ENST00000239223"
"25",193602,47,8079.641,8010.841,5,1180.7428,1834.7723,1687,"DUSP1","ENST00000239223"
"26",207498,50,8079.1997,8007.125,5,1176.6549,1800.3667,1687,"TNFSF10","ENST00000241261"
"27",219163,53,8075.548,8000.6084,2,1142.8401,1740.0264,1687,"LRP1","ENST00000243077"
"28",219171,53,8073.639,8003.058,2,1125.1694,1762.707,1687,"LRP1","ENST00000243077"
"29",221306,53,8078.505,8006.1733,5,1170.2198,1791.5544,1687,"LRP1","ENST00000243077"
"30",224347,54,8075.8,8002.6987,2,1145.1711,1759.3816,1687,"SNAI1","ENST00000244050"
"31",231881,56,8079.2373,8017.704,2,1177,1898.32,1687,"CDKN1A","ENST00000244741"
"32",233003,56,8079.3755,8018.2007,4,1178.2817,1902.9186,1687,"CDKN1A","ENST00000244741"
"33",233581,56,8079.993,8017.707,5,1184,1898.3455,1687,"CDKN1A","ENST00000244741"
"34",235234,57,8078.5054,8008.4766,0,1170.2236,1812.8799,1687,"SOX9","ENST00000245479"
"35",235244,57,8078.98,8009.964,0,1174.6171,1826.6492,1687,"SOX9","ENST00000245479"
"36",236454,57,8079.551,8003.3965,1,1179.9028,1765.8427,1687,"SOX9","ENST00000245479"
"37",237741,57,8079.379,8001.6265,2,1178.3135,1749.4532,1687,"SOX9","ENST00000245479"
"38",237771,57,8078.468,8005.907,2,1169.8765,1789.0897,1687,"SOX9","ENST00000245479"
"39",239185,57,8079.669,8018.9653,3,1181,1910,1687,"SOX9","ENST00000245479"
"40",239189,57,8079.8706,8019.804,3,1182.8677,1917.7672,1687,"SOX9","ENST00000245479"
"41",240387,57,8074.1396,8000.2837,4,1129.801,1737.0212,1687,"SOX9","ENST00000245479"
"42",240434,57,8076.9106,8007.351,4,1155.4592,1802.4607,1687,"SOX9","ENST00000245479"
"43",240439,57,8078.368,8007.8086,4,1168.9553,1806.6967,1687,"SOX9","ENST00000245479"
"44",240455,57,8077.637,8010.0894,4,1162.1884,1827.8116,1687,"SOX9","ENST00000245479"
"45",240496,57,8079.0493,8016.527,4,1175.2632,1887.4208,1687,"SOX9","ENST00000245479"
"46",241761,57,8078.8228,8016.0615,5,1173.1643,1883.1125,1687,"SOX9","ENST00000245479"
"47",241768,57,8079.0854,8017.1016,5,1175.5947,1892.7408,1687,"SOX9","ENST00000245479"
"48",247573,59,8079.2866,8010.5884,0,1177.459,1832.4335,1687,"CD70","ENST00000245903"
"49",268820,66,8075.862,8000.53,1,1145.746,1739.3005,1687,"BST2","ENST00000252593"
"50",268822,66,8077.993,8000.676,1,1165.4819,1740.6489,1687,"BST2","ENST00000252593"
"51",270216,66,8075.441,8003.0737,2,1141.8517,1762.8517,1687,"BST2","ENST00000252593"
"52",270217,66,8076.4824,8003.1978,2,1151.4939,1764,1687,"BST2","ENST00000252593"
"53",270221,66,8075.895,8003.7104,2,1146.0563,1768.7507,1687,"BST2","ENST00000252593"
"54",271576,66,8073.865,8002.154,3,1127.2603,1754.3353,1687,"BST2","ENST00000252593"
"55",271585,66,8075.614,8003.142,3,1143.4496,1763.4879,1687,"BST2","ENST00000252593"
"56",271590,66,8074.701,8003.454,3,1135,1766.3738,1687,"BST2","ENST00000252593"
"57",272885,66,8075.1675,8001.6616,4,1139.3186,1749.7787,1687,"BST2","ENST00000252593"
"58",272950,66,8079.124,8011.6655,4,1175.9546,1842.4093,1687,"BST2","ENST00000252593"
"59",272957,66,8079.3794,8013.1396,4,1178.3162,1856.0563,1687,"BST2","ENST00000252593"
"60",272988,66,8079.5874,8017.8726,4,1180.2448,1899.8817,1687,"BST2","ENST00000252593"
"61",274223,66,8079.0063,8002.991,5,1174.8646,1762.0917,1687,"BST2","ENST00000252593"
"62",274292,66,8077.644,8012.206,5,1162.251,1847.412,1687,"BST2","ENST00000252593"
"63",276498,67,8076.661,8004.1885,1,1153.1486,1773.1736,1687,"LGR6","ENST00000255432"
"64",277812,67,8077.1025,8006.6177,4,1157.2365,1795.6676,1687,"LGR6","ENST00000255432"
"65",278257,67,8077.6816,8002.386,5,1162.5995,1756.4884,1687,"LGR6","ENST00000255432"
"66",289769,71,8074.644,8001.0225,1,1134.4705,1743.8589,1687,"TBX3","ENST00000257566"
"67",295179,72,8075.546,8005.161,2,1142.824,1782.1807,1687,"CDK4","ENST00000257904"
"68",295230,72,8078.665,8017.675,2,1171.7046,1898.0492,1687,"CDK4","ENST00000257904"
"69",296955,72,8079.93,8014.963,4,1183.4159,1872.9375,1687,"CDK4","ENST00000257904"
"70",317404,77,8079.2627,8001.13,0,1177.2361,1744.8539,1687,"MMP7","ENST00000260227"
"71",318333,77,8079.345,8002.0723,1,1178,1753.5801,1687,"MMP7","ENST00000260227"
"72",318388,77,8079.729,8010.4336,1,1181.5533,1831,1687,"MMP7","ENST00000260227"
"73",321122,77,8078.793,8017.186,4,1172.8867,1893.5245,1687,"MMP7","ENST00000260227"
"74",321904,77,8079.658,8000.937,5,1180.9008,1743.0676,1687,"MMP7","ENST00000260227"
"75",321932,77,8079.453,8005.542,5,1179,1785.7078,1687,"MMP7","ENST00000260227"
"76",321946,77,8079.0034,8007.17,5,1174.834,1800.781,1687,"MMP7","ENST00000260227"
"77",321975,77,8078.5444,8012.8735,5,1170.5886,1853.5929,1687,"MMP7","ENST00000260227"
"78",328004,79,8079.7417,8011.158,0,1181.6737,1837.711,1687,"LRP6","ENST00000261349"
"79",329940,79,8074.98,8001.1216,3,1137.5826,1744.7778,1687,"LRP6","ENST00000261349"
"80",341491,82,8079.8374,8011.406,1,1182.5586,1840,1687,"CDH1","ENST00000261769"
"81",342198,82,8076.6387,8003.342,2,1152.9401,1765.3335,1687,"CDH1","ENST00000261769"
"82",342914,82,8079.911,8002.603,3,1183.2416,1758.4956,1687,"CDH1","ENST00000261769"
"83",342919,82,8076.1294,8004.5806,3,1148.2231,1776.8068,1687,"CDH1","ENST00000261769"
"84",342971,82,8079.488,8017.7495,3,1179.3212,1898.7384,1687,"CDH1","ENST00000261769"
"85",343717,82,8079.388,8019.8086,4,1178.397,1917.8076,1687,"CDH1","ENST00000261769"
"86",354418,85,8079.3735,8016.656,2,1178.2628,1888.6152,1687,"CREBBP","ENST00000262367"
"87",355276,85,8074.0264,8010.4204,3,1128.7511,1830.879,1687,"CREBBP","ENST00000262367"
"88",356066,85,8075.4487,8003.8105,4,1141.9227,1769.6779,1687,"CREBBP","ENST00000262367"
"89",356158,85,8079.993,8020.3022,4,1184,1922.3749,1687,"CREBBP","ENST00000262367"
"90",357017,85,8078.9985,8016.2915,5,1174.7919,1885.2416,1687,"CREBBP","ENST00000262367"
"91",363496,87,8074.6724,8000.15,1,1134.7324,1735.7825,1687,"BRD4","ENST00000263377"
"92",364507,87,8079.8643,8015.7476,3,1182.8074,1880.2041,1687,"BRD4","ENST00000263377"
"93",364986,87,8075.903,8005.5156,4,1146.1259,1785.4628,1687,"BRD4","ENST00000263377"
"94",364990,87,8077.7036,8006.543,4,1162.8016,1794.9741,1687,"BRD4","ENST00000263377"
"95",369565,89,8079.113,8001.54,0,1175.848,1748.6522,1687,"EPCAM","ENST00000263735"
"96",370303,89,8075.7534,8003.0894,1,1144.7437,1763,1687,"EPCAM","ENST00000263735"
"97",371631,89,8073.621,8000.9946,3,1125,1743.6011,1687,"EPCAM","ENST00000263735"
"98",373044,89,8079.344,8005.7627,5,1177.99,1787.7534,1687,"EPCAM","ENST00000263735"
"99",388447,93,8076.2363,8003.832,3,1149.2173,1769.8746,1687,"PIK3CA","ENST00000263967"
"100",391944,94,8077.0654,8001.8335,4,1156.8936,1751.3678,1687,"LAMC2","ENST00000264144"
"101",400733,97,8076.01,8001.846,1,1147.117,1751.4866,1687,"STAT3","ENST00000264657"
"102",423604,102,8079.282,8001.256,5,1177.4192,1746.0211,1687,"MSH3","ENST00000265081"
"103",434611,106,8076.6235,8006.7764,4,1152.801,1797.1371,1687,"CDK6","ENST00000265734"
"104",437109,107,8078.481,8003.0425,1,1170,1762.565,1687,"PMS2","ENST00000265849"
"105",437112,107,8076.8486,8003.898,1,1154.883,1770.4863,1687,"PMS2","ENST00000265849"
"106",448264,110,8077.7407,8004.366,2,1163.1436,1774.8228,1687,"CDK2","ENST00000266970"
"107",458392,113,8075.4287,8001.323,2,1141.7362,1746.6472,1687,"TP53","ENST00000269305"
"108",465195,114,8078.0566,8013.813,5,1166.0677,1862.2927,1687,"IFNAR1","ENST00000270139"
"109",484408,118,8078.955,8016.9795,5,1174.3892,1891.6108,1687,"SFRP2","ENST00000274063"
"110",492695,120,8078.0776,8004.038,5,1166.2645,1771.7848,1687,"EGFR","ENST00000275493"
"111",494701,121,8074.2197,8010.3247,1,1130.5448,1829.9917,1687,"DUSP6","ENST00000279488"
"112",503769,123,8051.834,8005.0205,0,923.2678,1780.8774,1687,"YAP1","ENST00000282441"
"113",504616,123,8078.7627,8003.6406,1,1172.6088,1768.104,1687,"YAP1","ENST00000282441"
"114",506281,123,8079.582,8001.4224,3,1180.1941,1747.564,1687,"YAP1","ENST00000282441"
"115",506298,123,8077.0415,8006.6724,3,1156.6685,1796.1726,1687,"YAP1","ENST00000282441"
"116",507128,123,8074.4395,8003.314,4,1132.5779,1765.0757,1687,"YAP1","ENST00000282441"
"117",508025,123,8076.828,8004.233,5,1154.6964,1773.5857,1687,"YAP1","ENST00000282441"
"118",549919,134,8075.497,8002.1465,2,1142.3691,1754.2659,1687,"MAML1","ENST00000292599"
"119",551407,134,8078.74,8001.9834,4,1172.3994,1752.7561,1687,"MAML1","ENST00000292599"
"120",562617,137,8076.163,8003.089,2,1148.5385,1762.9957,1687,"LRP5","ENST00000294304"
"121",564639,137,8079.8657,8005.864,5,1182.8184,1788.6893,1687,"LRP5","ENST00000294304"
"122",586202,143,8076.283,8000.9746,2,1149.6486,1743.4176,1687,"STAT6","ENST00000300134"
"123",588394,143,8073.6763,8002.7456,4,1125.512,1759.816,1687,"STAT6","ENST00000300134"
"124",588423,143,8077.4526,8006.683,4,1160.4775,1796.2719,1687,"STAT6","ENST00000300134"
"125",608410,147,8078.74,8012.4507,5,1172.3978,1849.678,1687,"ITGB1","ENST00000302278"
"126",610974,148,8075.81,8000.828,2,1145.2672,1742.0626,1687,"JUNB","ENST00000302754"
"127",616778,149,8079.8853,8018.38,2,1183,1904.5793,1687,"CEBPB","ENST00000303004"
"128",617839,149,8079.5186,8001.07,3,1179.6083,1744.3008,1687,"CEBPB","ENST00000303004"
"129",617860,149,8078.5156,8003.8257,3,1170.32,1769.8162,1687,"CEBPB","ENST00000303004"
"130",617908,149,8078.128,8011.646,3,1166.7289,1842.2281,1687,"CEBPB","ENST00000303004"
"131",619077,149,8074.197,8001.6855,4,1130.3308,1750,1687,"CEBPB","ENST00000303004"
