"","transcript_id","cell_id","overlaps_nucleus","feature_name","x_location","y_location","z_location","qv"
"1",281474976711439,67500,1,"Neurod6",4900.0063,6407.46,17.908697,40
"2",281474976711442,67500,1,"Neurod6",4900.0693,6416.389,17.872255,40
"3",281474976711446,67500,1,"NegControlProbe_00062",4900.4673,6407.887,17.553467,11.100673
"4",281474976711464,67500,1,"Dkk3",4901.7812,6415.432,17.757992,40
"5",281474976711469,67500,1,"Bhlhe40",4902.0527,6411.5815,15.565689,30.676739
"6",281474976711476,67500,1,"Neurod6",4902.381,6413.7754,15.925538,40
"7",281474976711489,67500,1,"Neurod6",4903.216,6414.904,17.87164,40
"8",281474976711490,67500,0,"Dkk3",4903.316,6402.8555,14.689243,13.043205
"9",281474976711492,67500,0,"Lyz2",4903.48,6407.329,17.419706,32.066185
"10",281474976711499,67500,1,"Neurod6",4903.839,6412.441,17.390415,40
"11",281474976711520,67500,0,"Neurod6",4905.028,6418.523,14.818956,40
"12",281474976711530,67500,0,"Bhlhe40",4906.0215,6410.2407,16.641867,13.813585
"13",281474976711555,67515,0,"Dkk3",4907.872,6402.2476,14.777786,40
"14",281474976711566,67512,1,"Bhlhe40",4908.615,6409.2256,17.697947,32.066185
"15",281474976711576,67512,0,"Neurod6",4909.3833,6416.2305,15.684109,13.979751
"16",281474976711587,67512,1,"Neurod6",4910.485,6413.2036,18.895216,30.62372
"17",281474976711596,67512,1,"Neurod6",4910.9937,6409.1514,18.426126,40
"18",281474976711604,67521,0,"Neurod6",4911.7124,6419.5474,15.915962,40
"19",281474976711612,67512,0,"Bhlhe40",4912.3403,6415.8696,17.628841,40
"20",281474976711646,67515,1,"Neurod6",4914.087,6411.302,16.383162,40
"21",281474976711659,67515,1,"Bhlhe40",4915.2734,6410.279,17.348875,19.954567
"22",281474976711661,67521,1,"Neurod6",4915.407,6416.4736,15.402285,40
"23",281474976711664,67515,1,"Neurod6",4915.5864,6409.3647,19.06059,13.979751
